k,n,npq,a1,a2,a3,a4,a5,a6,a7,a8,a9plus
22.4000,101,2097,898,320,186,143,82,57,51,38,322
23.0000,101,2110,873,340,189,150,90,71,53,34,310
23.9000,101,2139,881,354,209,123,87,64,42,36,343
22.4000,102,2129,923,358,190,122,62,63,40,38,333
23.0000,102,2209,934,382,201,106,96,71,52,40,327
23.9000,102,2205,902,388,210,126,101,57,49,34,338
22.4000,103,2144,891,344,202,161,84,78,44,29,311
23.0000,103,2154,886,337,195,139,96,73,60,36,332
23.9000,103,2166,883,368,201,130,75,65,47,39,358
22.4000,104,2142,876,352,198,129,85,66,58,40,338
23.0000,104,2175,911,338,216,130,89,57,39,52,343
23.9000,104,2239,929,389,204,125,85,69,35,40,363
22.4000,105,2224,909,418,202,121,89,64,56,50,315
23.0000,105,2242,917,395,204,130,97,71,45,21,362
23.9000,105,2302,964,400,208,143,94,45,51,50,347
22.4000,106,2214,882,397,205,124,109,67,61,46,323
23.0000,106,2312,976,410,217,148,70,64,56,38,333
23.9000,106,2314,962,387,208,138,93,73,48,49,356
22.4000,107,2205,916,363,195,123,82,79,42,43,362
23.0000,107,2283,927,401,213,146,90,80,51,48,327
23.9000,107,2321,942,392,224,141,114,76,50,37,345
22.4000,108,2304,932,388,239,143,108,73,64,35,322
23.0000,108,2274,909,398,209,129,90,69,59,45,366
23.9000,108,2420,984,443,229,168,108,73,52,45,318
22.4000,109,2285,935,393,210,118,108,78,56,39,348
23.0000,109,2365,986,408,222,142,95,75,57,36,344
23.9000,109,2349,973,405,221,129,90,70,62,45,354
22.4000,110,2316,934,401,244,147,96,66,44,39,345
23.0000,110,2325,956,384,213,157,100,74,51,36,354
23.9000,110,2457,1062,402,212,150,101,71,54,53,352
22.4000,111,2345,990,401,223,128,89,73,51,48,342
23.0000,111,2386,1003,403,233,133,105,72,48,28,361
23.9000,111,2468,1058,420,206,157,104,62,50,48,363
22.4000,112,2300,946,377,204,136,89,74,52,39,383
23.0000,112,2378,1027,415,191,109,109,70,43,39,375
23.9000,112,2440,988,462,211,139,99,66,55,44,376
22.4000,113,2364,1002,389,211,142,102,61,54,35,368
23.0000,113,2403,970,437,206,150,95,75,71,37,362
23.9000,113,2458,1024,414,226,155,97,70,61,35,376
22.4000,114,2311,918,372,249,130,110,61,51,33,387
