k,n,logidx,halflogcov,logl1,logl2,skew,incone,logcone,rho,rho2,logq,jhi,mrg,ok,cflen,cfmax,cfidx,cfkind,cfpq,logh11,h22,logsinth,pqnext,cvkind,cvidx,cvt
23.9000,34,28.231705,-0.728441,-0.754991,-0.701856,6.089510,1,-0.750021,1.184079,1.000000,14.137947,2,2.786 e-3,1,741,547,394,0,0,28.048225,512,-0.001185,29,0,394,0
22.4000,35,26.795166,-0.419000,-0.446258,-0.391728,6.743308,1,-0.442548,1.138658,1.000000,14.493537,2,2.773 e-4,1,758,3605,394,0,0,26.636732,256,-0.000441,44,0,394,0
23.0000,35,27.211054,-0.626944,-0.661736,-0.592150,11.421295,1,-0.658549,1.117998,1.000000,14.278156,2,3.992 e-3,1,741,958,386,0,0,27.052621,256,-0.000056,91,0,386,0
23.9000,35,27.824985,-0.933909,-0.962226,-0.905588,7.259492,1,-0.953444,1.359856,1.000000,13.957265,2,3.384 e-4,1,746,2953,390,0,0,27.666551,256,-0.000133,16,0,390,0
22.4000,36,26.791025,-0.413136,-0.423753,-0.402519,2.147715,1,-0.414145,1.413207,1.000000,14.506247,2,2.050 e-3,1,738,360,374,0,0,26.617738,512,-0.000000,3,0,374,0
23.0000,36,27.214615,-0.624931,-0.636434,-0.613186,2.309246,0,-0.605850,3.007250,2.309246,14.300314,3,1.299 e-4,1,735,7695,389,0,0,27.041328,512,-0.008686,8,0,388,0
23.9000,36,27.830746,-0.932996,-0.968098,-0.897894,12.520638,1,-0.958509,1.412322,1.000000,13.964356,2,3.444 e-4,1,809,4650,426,0,0,27.657459,512,-0.000028,24,0,426,0
22.4000,37,26.475476,-0.563385,-0.564917,-0.561778,1.123147,1,-0.556107,1.385375,1.000000,14.371481,3,6.191 e-4,1,774,1614,374,0,0,26.288139,1024,-0.002766,1,0,374,0
23.0000,37,26.906351,-0.778822,-0.791702,-0.765938,2.594198,0,-0.760007,3.230843,2.594198,14.174174,3,9.061 e-4,1,779,1103,401,0,0,26.719014,1024,-0.000155,8,0,402,0
23.9000,37,27.524564,-1.087929,-1.087930,-1.085104,1.110216,1,-1.078876,1.397905,1.000000,13.839175,3,3.235 e-4,1,779,3091,392,0,0,27.337227,1024,-0.104472,1,0,392,0
22.4000,38,26.804883,-0.409773,-0.430104,-0.389423,4.692094,1,-0.424415,1.241334,1.000000,14.510620,2,1.710 e-4,1,749,5845,390,0,0,26.658957,256,-0.000727,16,0,390,0
23.0000,38,27.224419,-0.619541,-0.630229,-0.608841,2.254134,1,-0.622433,1.344819,1.000000,14.290782,2,1.545 e-3,1,797,646,400,0,0,27.078493,256,-0.000479,5,0,400,0
23.9000,38,27.844603,-0.929634,-0.975690,-0.883577,33.124958,1,-0.969916,1.245328,1.000000,13.964988,2,9.735 e-6,1,837,102716,418,0,0,27.698678,256,-0.000011,119,0,418,0
22.4000,39,27.031231,-0.289331,-0.290944,-0.286191,1.203662,1,-0.282754,1.376283,1.000000,14.647234,3,8.299 e-4,1,795,2425,420,0,0,26.889047,256,-0.059622,2,0,420,0
