== kernel identity for rational surrogates ==
e,k,n,zerof,equal,inlat,logcoordZ,logpred,t,g,logkerlen,logpredlen
22.4000,10,-0.463481,-1.088015,-1.100693,-1.072003,1.504160
23.0000,10,-0.281848,-1.295959,-1.334949,-1.256900,1.504160
23.9000,10,0.073460,-1.607875,-1.603473,-1.600516,1.504160
22.4000,11,-0.564759,-1.147550,-1.293500,-1.001597,1.534852
23.0000,11,-0.208488,-1.368096,-1.378322,-1.356513,1.534852
23.9000,11,-0.032813,-1.651657,-1.769768,-1.533544,1.534852
22.4000,12,-0.526461,-0.740811,-0.777323,-0.702730,1.201880
23.0000,12,-0.268196,-0.971860,-0.981156,-0.960809,1.201880
23.9000,12,0.013125,-1.260672,-1.277457,-1.240369,1.201880
22.4000,13,-0.570651,-1.027677,-1.112021,-0.943325,1.487324
23.0000,13,-0.317158,-1.240953,-1.285080,-1.196240,1.487324
23.9000,13,-0.006142,-1.534207,-1.560573,-1.507306,1.487324
22.4000,14,-0.609391,-0.477753,-0.549932,-0.405508,0.990210
23.0000,14,-0.345368,-0.700551,-0.731503,-0.668813,0.990210
23.9000,14,-0.018130,-0.997614,-0.998392,-0.990820,0.990210
22.4000,15,-0.429319,-0.612425,-0.614448,-0.609102,1.016616
23.0000,15,-0.377763,-0.820369,-0.978780,-0.661957,1.016616
23.9000,15,0.012925,-1.120733,-1.188820,-1.052559,1.016616
22.4000,16,0.078401,-0.837241,-0.837952,-0.831266,0.736469
23.0000,16,0.113908,-1.053850,-1.235662,-0.872037,0.736469
23.9000,16,0.572600,-1.357102,-1.383473,-1.330469,0.736469
22.4000,17,-0.352849,-0.803862,-0.832788,-0.774444,1.107399
23.0000,17,-0.119618,-1.028116,-1.048064,-1.007822,1.107399
23.9000,17,0.167174,-1.333916,-1.372872,-1.294843,1.107399
22.4000,18,-0.534132,-0.615237,-0.651194,-0.579278,1.094157
23.0000,18,-0.296100,-0.827032,-0.836752,-0.817202,1.094157
23.9000,18,0.010818,-1.135097,-1.145965,-1.122642,1.094157
22.4000,19,-0.684218,-0.429633,-0.428095,-0.425607,1.097148
23.0000,19,-0.477646,-0.648522,-0.659301,-0.636327,1.097148
23.9000,19,-0.247367,-0.958614,-1.049206,-0.868019,1.097148
22.4000,20,-0.192793,-0.547372,-0.577061,-0.517150,0.693147
23.0000,20,0.009493,-0.755316,-0.790663,-0.719697,0.693147
23.9000,20,0.357042,-1.067232,-1.066946,-1.066326,0.693147
22.4000,21,-0.139930,-0.662220,-0.688705,-0.635393,0.759161
23.0000,21,0.086380,-0.876765,-0.891486,-0.861797,0.759161
23.9000,21,0.396536,-1.173828,-1.175456,-1.171300,0.759161
22.4000,22,-0.333953,-0.380859,-0.418278,-0.343369,0.661640
23.0000,22,-0.078345,-0.601406,-0.603764,-0.597156,0.661640
23.9000,22,0.198333,-0.900720,-0.925713,-0.875311,0.661640
22.4000,23,-0.258079,-0.453093,-0.456050,-0.447508,0.693147
23.0000,23,-0.067587,-0.664051,-0.687473,-0.640079,0.693147
23.9000,23,0.241396,-0.965419,-0.981228,-0.949182,0.693147
22.4000,24,-0.185244,-0.431982,-0.457145,-0.406748,0.577623
23.0000,24,0.059035,-0.648591,-0.646083,-0.646070,0.577623
23.9000,24,0.354401,-0.951842,-0.957220,-0.944669,0.577623
22.4000,25,-0.194911,-0.506753,-0.556858,-0.456620,0.637695
23.0000,25,0.050309,-0.714697,-0.727526,-0.701426,0.637695
23.9000,25,0.321325,-1.019682,-1.066479,-0.972861,0.637695
22.4000,26,-0.156990,-0.559300,-0.574249,-0.544178,0.688011
23.0000,26,0.055844,-0.772576,-0.787967,-0.756939,0.688011
23.9000,26,0.371384,-1.079160,-1.085596,-1.072327,0.688011
22.4000,27,-0.093329,-0.534387,-0.558808,-0.509731,0.590459
23.0000,27,0.144767,-0.752600,-0.757138,-0.746454,0.590459
23.9000,27,0.444121,-1.060665,-1.073915,-1.046691,0.590459
22.4000,28,-0.231195,-0.361828,-0.397857,-0.325734,0.544616
23.0000,28,-0.019817,-0.572248,-0.607319,-0.537111,0.544616
23.9000,28,0.319085,-0.881688,-0.887298,-0.875249,0.544616
22.4000,29,-0.376860,-0.393838,-0.413291,-0.374377,0.739295
23.0000,29,-0.196083,-0.608953,-0.662743,-0.555160,0.739295
23.9000,29,0.158851,-0.919674,-0.929251,-0.909089,0.739295
22.4000,30,-0.353383,-0.455968,-0.460014,-0.451133,0.793752
23.0000,30,-0.144279,-0.663912,-0.666798,-0.660293,0.793752
23.9000,30,0.131291,-0.975828,-1.015061,-0.936585,0.793752
22.4000,31,-0.234861,-0.370842,-0.384015,-0.357351,0.581349
23.0000,31,-0.015807,-0.583258,-0.589794,-0.576474,0.581349
23.9000,31,0.291213,-0.885112,-0.886483,-0.883175,0.581349
22.4000,32,-0.160663,-0.341458,-0.346258,-0.336594,0.486490
23.0000,32,0.054949,-0.558066,-0.563863,-0.551400,0.486490
23.9000,32,0.361604,-0.861318,-0.863712,-0.857908,0.486490
22.4000,33,-0.311854,-0.225757,-0.231800,-0.219303,0.521065
23.0000,33,-0.099099,-0.435802,-0.439135,-0.431967,0.521065
23.9000,33,0.176621,-0.740366,-0.772544,-0.708183,0.521065
22.4000,34,-0.306136,-0.208580,-0.264597,-0.152563,0.448507
23.0000,34,-0.097311,-0.422641,-0.483892,-0.361389,0.448507
23.9000,34,0.243191,-0.728441,-0.754991,-0.701856,0.448507
22.4000,35,-0.129255,-0.419000,-0.446258,-0.391728,0.511094
23.0000,35,0.071156,-0.626944,-0.661736,-0.592150,0.511094
23.9000,35,0.384596,-0.933909,-0.962226,-0.905588,0.511094
22.4000,36,-0.084751,-0.413136,-0.423753,-0.402519,0.477643
23.0000,36,0.126158,-0.624931,-0.636434,-0.613186,0.477643
23.9000,36,0.410624,-0.932996,-0.968098,-0.897894,0.477643
22.4000,37,0.084143,-0.563385,-0.564917,-0.561778,0.468343
23.0000,37,0.288233,-0.778822,-0.791702,-0.765938,0.468343
23.9000,37,0.610218,-1.087929,-1.087930,-1.085104,0.468343
22.4000,38,-0.039214,-0.409773,-0.430104,-0.389423,0.419536
23.0000,38,0.180197,-0.619541,-0.630229,-0.608841,0.419536
23.9000,38,0.454921,-0.929634,-0.975690,-0.883577,0.419536
22.4000,39,-0.165492,-0.289331,-0.290944,-0.286191,0.444325
23.0000,39,0.030388,-0.502608,-0.521615,-0.483529,0.444325
23.9000,39,0.360197,-0.813635,-0.813861,-0.812674,0.444325
22.4000,40,-0.224525,-0.375062,-0.385520,-0.364298,0.580465
23.0000,40,-0.013624,-0.583007,-0.590508,-0.575416,0.580465
23.9000,40,0.306059,-0.894923,-0.894658,-0.893514,0.580465
22.4000,41,-0.199409,-0.306731,-0.323282,-0.290031,0.481136
23.0000,41,0.024239,-0.518056,-0.522284,-0.513794,0.481136
23.9000,41,0.334087,-0.822365,-0.821053,-0.820945,0.481136
22.4000,42,-0.150376,-0.279853,-0.289244,-0.269903,0.412588
23.0000,42,0.073404,-0.494399,-0.494554,-0.492859,0.412588
23.9000,42,0.360246,-0.799714,-0.818343,-0.780969,0.412588
22.4000,43,-0.197346,-0.304780,-0.317147,-0.292324,0.481699
23.0000,43,0.021862,-0.514336,-0.517051,-0.510716,0.481699
23.9000,43,0.324443,-0.820610,-0.827019,-0.814186,0.481699
22.4000,44,-0.128782,-0.251119,-0.260816,-0.241108,0.362327
23.0000,44,0.058938,-0.463789,-0.498437,-0.429136,0.362327
23.9000,44,0.393662,-0.770979,-0.778093,-0.763756,0.362327
22.4000,45,-0.126390,-0.283144,-0.284491,-0.280650,0.400485
23.0000,45,0.082921,-0.491088,-0.491069,-0.489960,0.400485
23.9000,45,0.390099,-0.799154,-0.800022,-0.796414,0.400485
22.4000,46,-0.200539,-0.341406,-0.368163,-0.314650,0.507655
23.0000,46,0.038155,-0.552364,-0.551385,-0.550862,0.507655
23.9000,46,0.337633,-0.861267,-0.869711,-0.852780,0.507655
22.4000,47,-0.287198,-0.221554,-0.223057,-0.219520,0.499874
23.0000,47,-0.079947,-0.435397,-0.443493,-0.426946,0.499874
23.9000,47,0.236776,-0.745101,-0.746178,-0.743158,0.499874
22.4000,48,-0.228745,-0.168540,-0.190956,-0.146103,0.367649
23.0000,48,-0.000153,-0.377928,-0.381141,-0.374715,0.367649
23.9000,48,0.312411,-0.688400,-0.689521,-0.686768,0.367649
22.4000,49,-0.382507,-0.224465,-0.238773,-0.210047,0.585591
23.0000,49,-0.159137,-0.436653,-0.439778,-0.433080,0.585591
23.9000,49,0.127578,-0.747862,-0.775482,-0.720240,0.585591
22.4000,50,-0.125255,-0.231222,-0.234195,-0.228249,0.346574
23.0000,50,0.082981,-0.439167,-0.441848,-0.435399,0.346574
23.9000,50,0.386972,-0.751083,-0.761689,-0.740442,0.346574
22.4000,51,-0.011773,-0.349132,-0.349872,-0.347737,0.353369
23.0000,51,0.197951,-0.559794,-0.561473,-0.557275,0.353369
23.9000,51,0.501894,-0.865594,-0.869130,-0.860999,0.353369
22.4000,52,-0.218674,-0.324842,-0.336078,-0.313444,0.525615
23.0000,52,0.005596,-0.538118,-0.538360,-0.537750,0.525615
23.9000,52,0.300929,-0.844702,-0.856196,-0.833124,0.525615
22.4000,53,-0.228996,-0.144690,-0.145646,-0.143717,0.366191
23.0000,53,-0.018724,-0.353942,-0.353878,-0.351919,0.366191
23.9000,53,0.269534,-0.661281,-0.680298,-0.642262,0.366191
22.4000,54,-0.122121,-0.249976,-0.258718,-0.241197,0.356937
23.0000,54,0.077232,-0.461771,-0.482956,-0.440586,0.356937
23.9000,54,0.390534,-0.769837,-0.785784,-0.753885,0.356937
22.4000,55,0.002001,-0.353855,-0.359137,-0.348072,0.340272
23.0000,55,0.211086,-0.561800,-0.565939,-0.557649,0.340272
23.9000,55,0.519601,-0.870565,-0.874956,-0.866052,0.340272
22.4000,56,-0.035493,-0.374709,-0.393542,-0.355875,0.385179
23.0000,56,0.181861,-0.585128,-0.597028,-0.573226,0.385179
23.9000,56,0.502646,-0.894569,-0.895125,-0.893837,0.385179
22.4000,57,-0.026990,-0.366921,-0.381420,-0.352413,0.373332
23.0000,57,0.190957,-0.579729,-0.589089,-0.570366,0.373332
23.9000,57,0.508525,-0.889821,-0.891705,-0.887711,0.373332
22.4000,58,-0.040246,-0.333818,-0.335011,-0.331210,0.366895
23.0000,58,0.170966,-0.542957,-0.542077,-0.541652,0.366895
