k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
23.9000,6288,1,1,72428,0,139112,0.520649,2,1,71,71,718466,28.57741,0.00301,2.38383,0.00660,1,1,3,1.410297,1.000000,1.180512,-0.530220,-0.530166,14.431220,635,0.036737,0.004850,57509,23798,13168,8314,5487,4131,3176,2484,21044,1,1,1,1
22.3500,6300,1,1,69572,0,133533,0.521014,1,1,89,89,140106,27.49347,0.00214,2.37814,0.00754,1,1,3,1.404983,1.000000,1.012972,0.001750,0.001804,14.963183,10398,-0.000121,0.076456,55513,22702,12248,7974,5344,3949,3145,2429,20228,1,1,1,1
22.4000,6300,1,1,69874,0,133582,0.523083,1,9,1281,1281,680147,27.52813,0.00214,2.37814,0.00754,1,1,2,1.357455,1.000000,4.379006,-0.015698,-0.015650,14.945694,10084,0.001047,0.074234,55639,22574,12472,7829,5247,3893,3145,2385,20397,1,1,1,1
23.0000,6300,1,1,70737,1,135473,0.522152,1,3,10,39,662631,27.94402,0.00214,2.37814,0.00754,0,1,3,2.328080,1.843520,1.843520,-0.223572,-0.223438,14.737833,6305,0.015161,0.047069,55974,23123,12467,7889,5632,4189,3100,2391,20707,1,1,1,1
23.9000,6300,1,1,72253,1,138752,0.520739,1,34,34,127,283641,28.56785,0.00214,2.37814,0.00754,0,0,3,5.216107,4.667544,4.667544,-0.535564,-0.535302,14.425860,633,0.037107,0.004828,57406,23555,12968,8136,5680,4037,3244,2510,21215,1,1,1,1
22.3500,6312,1,1,69716,0,133156,0.523570,1,148,171,1665,784908,27.49329,0.00198,2.38074,0.00841,1,1,2,1.065135,1.000000,10.060167,0.001414,0.001423,14.962495,10419,-0.000095,0.076468,55140,22634,12413,7903,5484,3943,3006,2263,20369,1,1,1,1
22.4000,6312,1,1,69644,0,133417,0.522006,1,1,10,31,334009,27.52788,0.00198,2.38074,0.00841,1,0,3,1.410425,1.000000,1.052745,-0.015703,-0.015649,14.945761,10101,0.001047,0.074217,55330,22584,12458,7882,5512,3922,2973,2373,20382,1,1,1,1
23.0000,6312,1,1,71138,0,136049,0.522889,2,6,11,117,56458,27.94386,0.00198,2.38074,0.00841,1,1,3,1.130369,1.000000,1.069963,-0.223686,-0.223666,14.737512,6313,0.015177,0.047040,56492,23216,12480,8075,5584,4090,3105,2450,20556,1,1,1,1
23.9000,6312,1,1,72364,0,139190,0.519897,1,6,679,679,339658,28.56760,0.00198,2.38074,0.00841,1,1,3,1.138513,1.000000,1.142308,-0.535569,-0.535548,14.425640,633,0.037125,0.004819,57804,23556,12807,8334,5566,4148,3200,2561,21213,1,1,1,1
22.3500,6324,1,1,70000,0,133775,0.523271,1,5,42,181,577571,27.48570,0.00164,2.37555,0.00685,1,1,2,1.397253,1.000000,2.778129,-0.002420,-0.002367,14.959006,10440,0.000158,0.076495,55566,22733,12419,7955,5538,3917,3039,2391,20216,1,1,1,1
22.4000,6324,1,1,69593,1,133731,0.520399,2,38,38,40,397468,27.52034,0.00164,2.37555,0.00685,0,0,3,2.858025,2.435434,2.435434,-0.019727,-0.019561,14.941662,10124,0.001309,0.074265,55313,22781,12519,7790,5417,3998,3063,2436,20413,1,1,1,1
