k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
23.9000,2093,1,1,23902,0,45866,0.521138,4,20,20,35,15489,28.54391,0.00464,2.36728,0.02267,1,1,2,1.202643,1.000000,4.671937,-0.547280,-0.547191,14.413285,213,0.037964,0.004894,18897,7776,4268,2741,1822,1412,1047,821,7081,1,1,1,1
22.3500,2094,1,1,22957,1,44073,0.520898,1,9,11,26,128653,27.46053,0.00819,2.36234,0.02233,0,1,3,3.642363,3.181287,3.181287,-0.012661,-0.012043,14.949163,3461,0.000806,0.076636,18155,7578,4131,2535,1827,1308,996,841,6701,1,1,1,1
22.4000,2094,1,1,23236,0,44232,0.525333,2,24,24,70,55796,27.49529,0.00819,2.36234,0.02233,1,0,2,1.088678,1.000000,2.342508,-0.029967,-0.029926,14.931299,3356,0.002004,0.074400,18283,7536,4134,2645,1749,1316,1017,799,6752,1,1,1,1
23.0000,2094,1,1,23435,1,44961,0.521241,1,3,4,852,40640,27.91137,0.00819,2.36234,0.02233,0,0,3,2.127823,1.579001,1.579001,-0.237916,-0.237555,14.723199,2099,0.016135,0.047191,18549,7615,4161,2628,1906,1411,1036,832,6822,1,1,1,1
23.9000,2094,1,1,24133,1,46196,0.522416,1,1,46,956,120905,28.53501,0.00819,2.36234,0.02233,0,1,3,1.179316,1.065600,1.065600,-0.549610,-0.549532,14.411685,215,0.038131,0.004938,19163,7852,4307,2675,1787,1386,1134,849,7042,1,1,1,1
22.3500,2095,1,1,23027,1,44272,0.520137,1,618,618,618,47051,27.46461,0.00625,2.35496,0.02369,0,1,3,7.062016,6.204698,6.145417,-0.011965,-0.011032,14.950169,3460,0.000738,0.076572,18319,7473,4158,2630,1831,1364,959,814,6723,1,1,1,1
22.4000,2095,1,1,23148,0,44354,0.521904,1,152,152,152,169090,27.49935,0.00625,2.35496,0.02369,1,1,2,1.232406,1.000000,39.712706,-0.029780,-0.029681,14.931470,3355,0.001988,0.074342,18551,7502,4071,2575,1764,1304,958,826,6802,1,1,1,1
23.0000,2095,1,1,23423,1,45009,0.520419,1,34,279,279,1140173,27.91523,0.00625,2.35496,0.02369,0,1,3,1.750288,1.740014,1.740014,-0.236978,-0.236711,14.724555,2099,0.016076,0.047164,18727,7540,4179,2670,1803,1332,1051,807,6899,1,1,1,1
23.9000,2095,1,1,24127,1,46379,0.520225,11,6,13,68,201253,28.53890,0.00625,2.35496,0.02369,0,1,3,2.115394,1.993097,1.993097,-0.548839,-0.548481,14.411230,213,0.038059,0.004890,19250,7928,4348,2710,1818,1386,1086,830,7022,1,1,1,1
22.3500,2096,1,1,23003,1,44165,0.520854,4,2,13,60,113457,27.45582,0.01250,2.34906,0.02039,0,1,3,1.657721,1.181977,1.181977,-0.012719,-0.012478,14.948518,3466,0.000835,0.076677,18264,7493,4114,2642,1744,1285,1028,775,6819,1,1,1,1
