n,best_digits_correct,best_q_n_bit_length,q_n,p_n
49,318.0626434859495,1634,-565442502911369703196369001667315958531610734445238528392536779459058105498631253827291269874523912033099572604893595839702882269871905923359923672345032791001470889779321889506019434451607211167228334723402873461086615659951775983560082051650861850188088920410635058535803151799822583238177566373306758347901061505125255250087908516353509566701786760174603621243189693399230348300607075286376787019021885666125179700930065281034831072966224743324227343278716225513587280689516864277761920000,-517925878152266642977828550507818540012686874966179476799911634727090474455142737233173379512137035351529212981360539712604539842604922779720563055710672954264852563863623146202001102423138296555562443107201796260724886661761540842493131643353848632734533579301108532150035882504446695532476719648151108775991308045268250282827972728343238858223249978201691787153462603206661289694326776458748175023791985261746115264004744108033151935154631408221064812142059476232065984753281222767679169024
50,324.5603806543265,1667,-5247657143626715334338795476337526785758783520723439432721809360810159445615844402297689629432581312034825741572890361471824649530841766157786717607442691000024086171191150857674917129977797400240596499958988991518097747999429304718731314902362850656911473516569929069311923030984935727322183856562018015061709292090885634955223708809028185669563072204198963353408440011428258461705274383440460932585228679294814394139530139320883119898891330946554697951371551694861006527096459363669036847245195878400,-4806673393600372255824323940166986178452037935734675777404192270696703306458410856293524083408223960431246392985765609743432637288171303635195844038917667788706066567150041843414443435530440157014050955104023579759122101046982860559653825617699935873512182000987473604005424387285505435653801133213519390804083247876800748850862317356796254166724743656812460936717088775912267309396940194866396260085845069275715362770990785499630899982270273085114447506242577364329249292328827816583041537832671424512
51,331.05811843298,1691,70586828582159415669834542418564121587141407920012515031907458001341693606159352351251253607007466779652862869136483500693555285216036699735357628063305124478859530131134859991985909114429685096755848090438167261822022822981598164360541285977456499836213071088566347397021428433745177157571223048580926210207896290108603897391537396317194853062808028794074154449130472266698981336623903833303005338119035299745937260074824425274784351558176709356022849983136125867846218000854797314785170674216405741891737600,64655106383343155213871331694637504280751501460944760215952690218187470396769391706242049587506313437346387644382084101648983490007921069491648500642837245715270497895583718216923619211295060865819294206102472090193237766400908830681788692000578928397222529064141830335487856615341643791399232318466542751592601402413610974701686342149049180322282335926370017117772395782809277371188551894351063713402442651519190231967568451230984920750047495252272412140476729234227301038048986764332200143685683444131488768
52,337.5558567867208,1726,1984890990609405418694352551143360261987946968095208791737383558294147068781883774394267261056828124626497025492249611942900310280613325646246213406951537561566893362033216575824885448395183339642636574205700778924290908730655516735937758305362482849577004112463468160877496176155021189773531847918397560071353886885896365991125868173532882144553961769094028051749957858634807918831784213958412028962817333346125059730770934535648367848054543377374147899858841628162342425005788271421566313827499354512645907919288960000,1818091855590552882667746441835014465278472783474875891538093947865736482567223421546709741854618556452031751344937745505648653447497530243969171231156797188333921601788443197963245747548490124925241310627912791659977526969624688596441216946874009919116894760637397136975044556292627226696131273646400185649875033738993868390676893038017376682442494540906223984781445210383615460853962267551575097869986667934990240938639696483395584030766494381439716999712882188633254707000865800539036860697563045464253846843710010880
53,344.05359568301435,1777,-5999422958580901398091310606348264947104399476708112841220860606970010084806464920109807562410380546245163787456025358710667820010359139322794105790268845778247088287757445018267091370211256034031206246776397173623407255911999773105411691990130083643390342425185848211749961061371729845906349038999502221079914495238758484261050116036498570665699639926857954504211198135148650813644844376313946638190239798612359733088926013210055192622373356973273981968392586779889384667875204805739479903111367964709903052182469243529391858382848000,-5495265014977004573773820510468713928877720702046815847804156116788132026041435961809348778925981481203203743072426084401188456386239113154427072950394570736115588120301829407186255559500933524046767199605197838871587445350068454436091754451912173918917034127690612215939894740575535629455288917964031882265305946186631339676572070942736489864737536988527574131237525073955861140147193590458559674157032824467523160755910954049117890439357376798892548667536053537275835108654741097197500381056540182651981033087940102819024873337790464
54,350.55133509173453,1800,65561710731646377669801102059756789713173363006542066866558311349303035945599839194006798260626347615398363368890549319294027988142379247011689999431991431619987211251384408282455936095110578815361619415624240422399976636182180361674899917580895011222575980625334841607894229789593690703828013707752424850877219523581479463944259634236307433484748958408605830638188050085541647713433609224595886954131659152042672460733303525523813390977630780265302718351557306665890201357743757183981019457569086534612545637210215809457653750684347527040000,60052271325587430721424902539907998525604884355452411454765155966249374155397842517542631766187180358146708652980981242333094950479829162052801804411300592643017120948000271215061444863104574183369528328671274433131556950448212388915879591246399111386683877054520907960741202209090718708934712418794284810682669252092910877150591223605969110477162303776393747956662506917366629318175816968209915226915660464991899027029003447560478171065691760140241179242755379609706012804536681043557470271167809099242070451040218933242776214508579427475968
55,357.04907498494526,1825,-1290264613432820167968697311201904077824636136811074682379171097456559594235333819786093792174828039391764042168881628509212012979466890641918964207033723239784535230456738039525573672125484553924818978411705246393089477602439608921852724982152049491072857785822693140760745093745353371064697914620705494507082517258850995366926818630086096141266621429681166937542592544432443952656096580578081812096688650750183576782437942682992056335015873886622523115202902161815750794789003554805685512033105263612132566210402782150889444851800115075777401344000,-1181837993288832928201000747987107819260087709126907834149100147268033764896301682067718059544378858739639372115106046416712016829698369798136970750199038683217319080042679121296112641593046657938719716277983692664258724607831359123701970141468836763239307893615444685652270134622872088675660057020928629087982556619606889311250875113561736057668614748871731703292541600325773485053111988868496898753458483427973273733599649542383924552252680831632088402442588220125853928762566625518791777014588802849420620986113798466862426351068836995348353595392
56,363.5468153367047,1856,3261326231102206867902262824925953100551910192041109708974423801482784671665714517264169550893752076619624990494653324927636453941057014640634541944712765089266444526727322698860807162986856314888636906112387952593666500160537903485507381460654562715783958539208157440464546392132706925318820510822095453907250095580185519816923422261050754142676575065369892022888640134167670494541641392308235235849646817215712113285804244925850018185967278204307450907647959198495595324635041622246331355736862946395732511193359849489707693415472246122221060158029793664000,2987262619077283210916651043392658117940703492797234824554822311475247840065252172956948364970972953867861610885806075136211783504664173394503968954842316290843133264814844523797370525607360895764360487267308776590374573130081701461013299890883115873742411869114948132733282743006254722115428372152180326687903509956935796081822530889396557919902712583948665490290168668495034696456219444763632168018512468813278148259779168632537127260728066457080111798537734181227269967189359610206249734340133150039420726353808398924123134692105354448193721191263966296576
57,370.04455612289075,1891,139077482732314241644916995885347468811651724935980798036575260885426212985367786301815705643771420688894358348836180361491909983373297016674623970449994284169368516405147733091618052541485827044085803293986422198262517951295892196286420404017051744526779732797422447695397510630216107532126887152040387171103795372758262599620175616069356314221790722616577752183634227390978156638222509811051735943743681102902704941254657831535426694352076056788010654082197659312056362112899050227993869807954989521280646009676652246382746895174086129155156769080189538189813056000000,127390189107576131849040291196734333946154914591629916133246311203158537420241976124530614686977784157377042090792416335707842355157892145684492109326771941732562280434635596775867021645710593955939984525654573058824599965588314877808779935912179218118513271908171863224423470357414360508582325759696888711527240824621117871608666827678140574768429501296999096344168907302872934375611241822438727132947870492237429117363178870270322730393567154732295861682918491688496263864499159726221902272771315205334558428418676283726458683631132113018554319734134499554167655856128
58,376.5422973210441,1928,-21182619729752847466614895081184117285298358025470142041302074295375261064051373826710273446926448046735258558310813075818143159445155590954507360644549572116029021771668800167196300624908319804029146882364741414983238247321798864996629354089753029137845391135995664408987873799700618414442731607781126023880777248604334154030938495754513955375716090551730662856879125051280186172091969658371872925590061758596342717226480300662525144779077176616629068997280266422044644596486884155781902256189979593263025233175361502988624480879957748458034021480044684637999100972105323799040000,-19402550866993149407732318856483799186985504245703696271927975418988738890645199433404272088026312947740194053113083920397674282581714336081356902776768582380410861289289656857176304876015559553258422085866295479861397877176997268515698872125808736779124182834569187874262923804290975324610683705933792316641353106307240508230976845704663174872704155497622356553120257383884385126633308749176943750271258596541999651585746569496327827498143487343370445457411703448679957458417652738602312503492626740215609884127031731417039082029373540886090475432645711321348957652143461139609600
