n,digits_correct,V_n_bit_length,time_s,V_n,U_n
45,292.07170172839545,1894,16.42,1226618181346092352531800489164666856686027988723656504927074134671617464823788030451412608551713939310906132109541984044861944327469779811509225294527666367921533627291601811877890762136547876637504361230498603549790221791670530490659634023349881864257984050602331371359096954913979134816831750263641616494319805404988400807628207242359302991689763745799786499540883793174400091146594906976797387879796644191988556652386686223770496028488741630633072151998691280925881868095046079360539726398403101930925830483625928095237331918863735691740581940114279629041172480000000,1123540051305253267211871563943388274953354652457012190741807901053440088049255241546477303393602878144940233074517897051238573153299762614997158319948620701456918399739969690452235602561597424908097786470903290815313800438663694894017554222245048137073764501383859043289124575854836027661127081750295109347601039029854726539596079689763592387042849945953585912446211728854448438858162017212639114508991206251710515600063837392527681889003876707366755829663949692814951600326662158960262500172783464524044957737196211258196867200756117200023830933084068090205494826762240
46,298.5694360402384,1935,16.73,3035213193121512729360387910130665798320493857333108927784506538536029529491581211231725368652084956212710471237108872348725346571253942826696319346214276630021336038698096494204953167525389432439131339739113390925788067513749711603909888441072709910987235359568306743972275903337610610840519513137020067729431465894285999053914872866558822451514446926998474061963281995862631247970102820553856889188487418555772886636772204963785818396828247140993931547085008234342805593085786026365897300162904847406265319635141335806096852924140727564761956917363256037841244133618472714240000000,2780150855892080613892881522294043219122756787059120816632562744966988440450900812738441677662731511674913023739275105471365866769951239742933850509309691952371330721698706720591909707629133339413227416201194879811079774857877717744659810157458422253699953150776989881486852201166532537993043613257553079320196621069819574887772925676909314349461449364579078001894911375951303293136483329424187001898469178231753696183692692080411122458614403085094094110260967271794962761347425782619171868601731554139604861626044536842742836836000739015753203283172605269171885142896126543286763520
47,305.06717113574615,1993,16.93,619880139275183993917606550346926533333245204513011220503861746687883999074681961369869024149674103761790921839223168608598751047312181567202413088281423324194618258803443940734971542978922493406934189722993603509868906095035281885763414721486955961694871666254021294822433339728211007013544149037357443885152372957875509599082146544532063704760163705059988643859307682200234588367234920524152792204148470409882094863442487529655363159469902392686532089370532375369941279638548096550332982882885364956744313238001532526594743733954231110672923881700449065292515116305749913455145525758656512000000000,567788880089851184182291426733858543698081211537086754255166814334350637907846998599916083159155247513539470168615270927868155734807507708379235823845185260364911047116696136176185332612501259536391462311052296874240056207646613121976811278439945427562502769217743700626407881888474770386315243005088570599682327868733856733360720637005186323570174682495867160299164864043691007674992961409261659072811506759147245782666165429127438355626848565016306022446836168546025554148343617606227732063290057852857611475192701248431549859373787032101515731533851941513478163423044047979233844536205992001536000
48,311.5649069659687,2034,17.14,1674262007763193846108685204723230468377626733539619070098770193190115271653286995950558119461865090841189603000389534033732325438120057666785611329325488302205700749480803179863849569057026339298747177523918766103330991051979417332498242557886164657308386494925159085549418106089715165106846005268125708831154289774480897682656217706573671751652882896406616709410109977719090343685745382352309782510875872486831230794530394316628535134099022689013896527809263760194947819437627313886949932431110349164112845005111862651714665112265708167692015046879668493072301157864647089765286274239485652120111480176640000000,1533566394749157526547222589306389133664472247273442369967289810279460628553960902638887669150318990516478531793514011754688916833687051528916371697304755833467421092644222040325543774461277464031722993292880818383324896934969865288697336441182781241391911953274754032288066811994916479724251827185758611594761852984381419918589106017432353282063456463030771592530034036519596702367033854184255547232592547139382933612123927328515651786909223984059644796584151242137769196187834233663748374408133422308721185733890282502179783833375354075832779578389819746237796210718264544957979101345445769029708757460236369920
49,318.0626434859495,2084,17.11,1401482636989475519985029279032835685979630135450664417250611068793225578840547138800017642652611684264812207454796831848768567709759025688271725477195414239135181048738416096419952314627274033645323357880866863121442460980937653682217779890584242835267650177581856764320904522244743573425248205787747656692453999347137830137791868310974205030520713447399039851036335220600475907684094528896211269704776283667401173449867606448924167733553786876030029987863846481744608015402715389974459969941883930665641125441770869100806175416313691258785753007950099943236630059936196066187720138546206801688653662055248863892576665600000000,1283709876319120688954949509791394674852090626432666064687563941705252247281074734333323578751418601951943434732481032308509697059507081093626715693348903357777330749969412127364926227003490161688702736336097034145679697275410973989454597282797643453694110460263014478763483985999863939799698683965936722983053636505088444778805661705518836687716552889690786338692965910632241254907281111857243108251483093968674417349429603849658234749629712046732772911206766123923970590618079893387500822454082384870977449899530316352263076217538732584371090346007167507635962855273044510498560777544497070785294369486205779543354336136396800
50,324.5603806543265,2109,17.13,47304201338408869155879808521156629347122569943961607291969957234873749732591087954025471249435141347362952024810264803426560215868862007718006346047557777937311448731370840688736566874373688829427364546123918616370654789400163338921412151748147048271286852842000684596738429022980006412689077106855784733994231683200924334778515591589971780815372179890007905635510952065839579382786863301064021829943180809856834879712698473092472836041030743273828047212748526836520898058151353041860079376198919808958455349823372679770209767318680775479331540624376802591146283298683160179560174319572007333768124987630975540247301495481958400000000,43329020886014478820371204527902707816953872941081700671672957915415274030842239319324244001961583042336663993705478457926702592285135480853077330851797712896444637891324780533713396681896933489257621546774118054618305586529074911732278974563846043967335879405362554932766989870442021602945384047741554455821360222679775616974095530558179714376255857112094372737803824553092738795134619219242098242756665477826170614028780086499066875130313020331061270308315688749836039594032196636961602515961744534157970382015843493509499134425555630220033792158605616149315770664611848568128270557635784218322475724400987999053892286415791718400000
51,331.05811843298,2134,16.7,1597295715726021803102215366036638857322354090914296205852390498853844087915000489861460873730837387165192564926355651550150032874883818866943421008399701807152607785828917999362472612916631384426100024620765736189284353883340241802490344553057495434676683032995321988032882361509860569550798084546248794366538274982914406296104448876199456092746772948344527479743578769483394209985733688388560779971721932731098044036574506441133504866153769205381779031056808303008095269967221906247705560189303141042036605059436208736519517496523474899867824882425965993398582406155725524567311200768260040389086850574188106444838742540331237349785600000000,1463067919331711875627375294747054885438191288336582931892937584075788238915602759494339600401805615929255577283201102042805361842758615573916963305354931980014001840666481570674473067887703181254550036202843523372933038942770450018039663787986551526605945230091291009622132465419669191382147871136810271722203057233566857194003739867034652006025088545989229031309207774317622635680061235782815377224537552960988173994735234159466836833961658091354532497304534715389788949030528773112607684566526472771889372086279849249871166062383082229715784617618419000300131507168506441686463721383469334480267323285889540212944548668678912997293293568000
52,337.5558567867208,2192,16.83,491853025306111326017265631081827772538341339178271833449348187575245473478584428800812290738204729720586309554761768751395303921383232863588802650574758473816404165987887369453444187917821953913106414221438865848119214229995897011968353653084542950271521764380103729222626823801354686429951345332564494750090572511380091264262127057523959651427476114648073031813554062448729125066095319399329192795845269913401008288858723033918610016611554537967108449271340947112247341349109761025005515827614636655440619451251271671521143440169223240852093531185756852476642840449698488562174198360576663539223875966307703003610738524361312651747408055390498324480000000000,450520448572375001261908394718615476119809740941367144469042375302282956890899322851133306063846886317773258926717886728236039063550533573160447708094576842400822167299446904118743377596845468455488098915067003715955890304382622730430634130247018446465865321742762370586121874443590591183067956086215765047124133829544525422260248839277440609271884242299283328128232195139935025154123877404192627829066929692396113665664948116798660556871973005638036953990512005208907638265660747195721956352522110131542566155827241658917356781253469483155707179263982396151339881930899005366989895205426352014499472535934474231616237056145474827206738935721543977140224000000
53,344.05359568301435,2250,17.4,163627223461109379412577956397931758922634149232841940077473600149057972614104605018828973144564343093363559384496399551907989254451149900915838055288172154508925464045853398785042586213591293532116940341142332435482107396111124570416408612592313105758337620736711661863588102427086542790290205439753192642969598168334777744485740318094726947828318893451401522300787590275496929416505895051565647517982358208577882148545171930579437744639586122654572386099233843787210190187644477712453131559251024834999605465610214690891461329470312813912966871260480612086791981757279915469323008453252100303934962926706065047076031223699403208995637207544506259750470694089652174848000000000,149876906961123643990510655469699245676105316112611242808831458968927985083845262842737130508519310726077715994976581202301093052779440114099106431430476717418201173175732568177048780584189497647366328512320820407193219628822939235368337388241272301325953887629685236831994677649293010258625326552459605756607065041858355484243547650452501594729067847914553649591435847264402058778587172023154770825159347474161097608327544660477706834409397614738715960220315453109681332742126535660873671969748703201046700236860918226101464146812052155121731306522009565945740259720495776861351923734445504220183532032654730813537875791206223017837777507521994936188592733207848442707050496000
54,350.55133509173453,2275,16.89,5531247599919641085396154287543428148032807000098912560541816622686046143337314011768965933603936667904004500660839045724809620085461957634286728403524901916509935451855107278640586629402714653475910780025900493027307824894902305863848585713937160148104581666041832747271359910670735859281063820093967990592020064367457866370894896281157601835216563753502848729350358604461003289827049271058824350309606537497381318763219541955184514004261455789021751082602379041578192614488431757677292446448088961688725463932742035764919930304868652512966947292819639833854466397505513043604842143617135359687184236742136358354245297997782962891801597423850184918878099965391891849755361280000000000,5066432494401710650732591620529726207839789701037962577006271002117508741798310065638927672332288491884227357921080510358297220409102974509264997624099459218173184264847143485947492009414997012077516356736637799838624331835283907762615781574173914741377580770532144341916506743915160724195475196661131304993126901685438713311893699057257603604811763411822862427709312723928767237823725962154278764085888503791554506702341169119015594949164660525622266331880202574766589878622022580271153522221042873441174788047047581894838869741268651209657512523401875424335385307669190965176898370176174038055434467670810527645473746087178786740103909350671169910032653664799146439127678278696960000
