k,n,h11ok,h22ok,okY,okX,lcmok,logh11,logh22,logmY,logmX,v2h11,logoddh11,logmZ,v2mZ,logg0,v2gMODY,logh12
23.0,55,1,1,1,1,1,27.23041,0.08822,27.23041,15.70293,1247,11.51487,2.15929,0,0.34027,34,27.22908
23.9,55,1,1,1,1,1,27.84794,0.08822,27.84794,16.32047,1296,11.51487,2.15929,0,0.34027,34,27.82578
22.4,56,1,1,1,1,1,26.75185,0.09902,26.75185,15.31113,1238,11.42835,2.13841,0,0.38518,32,26.73759
23.0,56,1,1,1,1,1,27.17269,0.09902,27.17269,15.73197,1272,11.42835,2.13841,0,0.38518,32,27.13254
23.9,56,1,1,1,1,1,27.79157,0.09902,27.79157,16.35085,1322,11.42835,2.13841,0,0.38518,32,27.76878
22.4,57,1,1,1,1,1,26.65783,0.19881,26.65783,15.26140,1256,11.38427,2.39578,0,0.37333,36,26.64460
23.0,57,1,1,1,1,1,27.08345,0.19881,27.08345,15.68702,1291,11.38427,2.39578,0,0.37333,36,27.07026
23.9,57,1,1,1,1,1,27.70363,0.19881,27.70363,16.30720,1342,11.38427,2.39578,0,0.37333,36,27.69538
22.4,58,1,1,1,1,1,26.82971,0.10756,26.82971,15.27314,1279,11.54462,2.24509,0,0.36690,36,26.81256
23.0,58,1,1,1,1,1,27.24798,0.10756,27.24798,15.69142,1314,11.54462,2.24509,0,0.36690,36,27.24407
23.9,58,1,1,1,1,1,27.86943,0.10756,27.86943,16.31286,1366,11.54462,2.24509,0,0.36690,36,27.83688
22.4,59,1,1,1,1,1,27.05426,0.08224,27.05426,15.29623,1303,11.74628,2.36327,0,0.36068,34,27.04683
23.0,59,1,1,1,1,1,27.47720,0.08224,27.47720,15.71917,1339,11.74628,2.36327,0,0.36068,34,27.46193
23.9,59,1,1,1,1,1,28.09986,0.08224,28.09986,16.34183,1392,11.74628,2.36327,0,0.36068,34,28.08957
22.4,60,1,1,1,1,1,26.99901,0.09242,26.99901,15.30700,1326,11.68045,2.46653,0,0.40928,34,26.99538
23.0,60,1,1,1,1,1,27.41489,0.09242,27.41489,15.72289,1362,11.68045,2.46653,0,0.40928,34,27.39543
23.9,60,1,1,1,1,1,28.03873,0.09242,28.03873,16.34672,1416,11.68045,2.46653,0,0.40928,34,28.03026
22.4,61,1,1,1,1,1,26.89066,0.10227,26.89066,15.26060,1344,11.61870,2.38003,0,0.40348,38,26.87779
23.0,61,1,1,1,1,1,27.31109,0.10227,27.31109,15.68103,1381,11.61870,2.38003,0,0.40348,38,27.29828
23.9,61,1,1,1,1,1,27.92470,0.10227,27.92470,16.29464,1435,11.61870,2.38003,0,0.40348,38,27.91429
22.4,62,1,1,1,1,1,26.73815,0.18072,26.73815,15.28278,1368,11.44419,2.39797,0,0.47211,36,26.72395
23.0,62,1,1,1,1,1,27.16298,0.18072,27.16298,15.70761,1406,11.44419,2.39797,0,0.47211,36,27.15119
23.9,62,1,1,1,1,1,27.77787,0.18072,27.77787,16.32250,1461,11.44419,2.39797,0,0.47211,36,27.77198
22.4,63,1,1,1,1,1,26.84143,0.14696,26.84143,15.27124,1389,11.55919,2.52432,0,0.40885,38,26.83611
23.0,63,1,1,1,1,1,27.25952,0.14696,27.25952,15.68933,1427,11.55919,2.52432,0,0.40885,38,27.22646
23.9,63,1,1,1,1,1,27.87565,0.14696,27.87565,16.30546,1483,11.55919,2.52432,0,0.40885,38,27.86510
22.4,64,1,1,1,1,1,27.06730,0.15550,27.06730,15.35754,1419,11.69893,2.24112,0,0.35605,30,27.06335
23.0,64,1,1,1,1,1,27.48969,0.15550,27.48969,15.77993,1458,11.69893,2.24112,0,0.35605,30,27.48427
23.9,64,1,1,1,1,1,28.10702,0.15550,28.10702,16.39726,1515,11.69893,2.24112,0,0.35605,30,28.05885
22.4,65,1,1,1,1,1,27.12416,0.16377,27.12416,15.32388,1438,11.78961,2.42311,0,0.29539,34,27.12342
23.0,65,1,1,1,1,1,27.54005,0.16377,27.54005,15.73977,1477,11.78961,2.42311,0,0.29539,34,27.53561
23.9,65,1,1,1,1,1,28.15855,0.16377,28.15855,16.35827,1535,11.78961,2.42311,0,0.29539,34,28.14297
22.4,66,1,1,1,1,1,26.90131,0.16129,26.90131,15.32275,1460,11.56806,2.16617,0,0.33384,34,26.89943
23.0,66,1,1,1,1,1,27.32140,0.16129,27.32140,15.74284,1500,11.56806,2.16617,0,0.33384,34,27.32072
23.9,66,1,1,1,1,1,27.94103,0.16129,27.94103,16.36247,1559,11.56806,2.16617,0,0.33384,34,27.93885
22.4,67,1,1,1,1,1,27.00948,0.14854,27.00948,15.32166,1482,11.67748,2.11953,0,0.41467,34,27.00742
23.0,67,1,1,1,1,1,27.43365,0.14854,27.43365,15.74582,1523,11.67748,2.11953,0,0.41467,34,27.42758
23.9,67,1,1,1,1,1,28.05438,0.14854,28.05438,16.36655,1583,11.67748,2.11953,0,0.41467,34,28.04348
22.4,68,1,1,1,1,1,26.90552,0.15654,26.90552,15.33078,1505,11.56454,2.34846,0,0.33959,34,26.90455
23.0,68,1,1,1,1,1,27.32345,0.15654,27.32345,15.74871,1546,11.56454,2.34846,0,0.33959,34,27.31097
23.9,68,1,1,1,1,1,27.94524,0.15654,27.94524,16.37051,1607,11.56454,2.34846,0,0.33959,34,27.89863
22.4,69,1,1,1,1,1,26.86975,0.22169,26.86975,15.28942,1523,11.57029,2.50530,0,0.30840,38,26.86082
23.0,69,1,1,1,1,1,27.29167,0.22169,27.29167,15.71134,1565,11.57029,2.50530,0,0.30840,38,27.28576
