xi2: 2-adic precision (bits) = 4931
xi2 valuation = -1
xi2 mod 2^40  = 638147118555/2
xi2 mod 2^80  = 2221961521540699540440539/2
Zudilin tail v_2(xi2 - P_m/Q_m) vs 8m-1-4s_2(m):
  m=40  v_2=311  8m-1-4s_2(m)=311  match=1
  m=80  v_2=631  8m-1-4s_2(m)=631  match=1
  m=120  v_2=943  8m-1-4s_2(m)=943  match=1
  m=160  v_2=1271  8m-1-4s_2(m)=1271  match=1
  m=200  v_2=1587  8m-1-4s_2(m)=1587  match=1
  m=240  v_2=1903  8m-1-4s_2(m)=1903  match=1

k,n,v2ZudForm,v2NestForm,v2Nesttail,v2mixed,v2MOD,logq,archrate,v2qxip,d2,dinf,dad,incone
23.9,53,1286,1492,734,1315,1282,14.26585,-0.67551,4,0.00367,0.04735,0.05102,1
22.4,54,1316,1523,751,1342,1225,14.70584,-0.23747,91,0.07943,0.01615,0.09558,0
23.0,54,1316,1523,751,1342,1258,14.37955,-0.48277,58,0.05177,0.03357,0.08535,1
23.9,54,1316,1523,751,1342,1306,14.16189,-0.78573,10,0.00906,0.05548,0.06455,1
22.4,55,1338,1549,763,1366,1248,14.58678,-0.34247,90,0.07776,0.02348,0.10124,0
23.0,55,1338,1549,763,1366,1281,14.39012,-0.55555,57,0.04992,0.03861,0.08853,0
23.9,55,1338,1549,763,1366,1330,14.06888,-0.86883,8,0.00717,0.06176,0.06892,1
22.4,56,1364,1580,780,1389,1270,14.54755,-0.38737,95,0.08083,0.02663,0.10746,1
23.0,56,1364,1580,780,1389,1304,14.35114,-0.59669,60,0.05175,0.04158,0.09333,1
23.9,56,1364,1580,780,1389,1354,13.94247,-0.88958,10,0.00888,0.06380,0.07268,0
22.4,57,1384,1605,791,1412,1292,14.55301,-0.37624,92,0.07688,0.02585,0.10273,1
23.0,57,1384,1605,791,1412,1327,14.35800,-0.58447,60,0.05082,0.04071,0.09152,1
23.9,57,1384,1605,791,1412,1378,14.05327,-0.87914,8,0.00692,0.06256,0.06948,0
22.4,58,1408,1633,805,1436,1315,14.61686,-0.32780,95,0.07767,0.02243,0.10010,0
23.0,58,1408,1633,805,1436,1350,14.40684,-0.53972,58,0.04811,0.03746,0.08558,0
23.9,58,1408,1633,805,1436,1402,14.09267,-0.85140,6,0.00509,0.06041,0.06550,1
22.4,59,1434,1661,819,1462,1337,14.70959,-0.22135,97,0.07747,0.01505,0.09252,0
23.0,59,1434,1661,819,1462,1373,14.51053,-0.43763,62,0.05020,0.03016,0.08036,0
23.9,59,1434,1661,819,1462,1426,14.17156,-0.75662,8,0.00663,0.05339,0.06002,1
22.4,60,1458,1690,834,1485,1360,14.70108,-0.24733,98,0.07701,0.01682,0.09383,0
23.0,60,1458,1690,834,1485,1396,14.47806,-0.45769,62,0.04947,0.03161,0.08108,0
23.9,60,1458,1690,834,1485,1450,14.18139,-0.76622,8,0.00652,0.05403,0.06055,0
22.4,61,1478,1715,845,1508,1382,14.63289,-0.30633,97,0.07532,0.02093,0.09626,1
23.0,61,1478,1715,845,1508,1419,14.41061,-0.49763,59,0.04652,0.03453,0.08105,0
23.9,61,1478,1715,845,1508,1473,14.11076,-0.81757,10,0.00805,0.05794,0.06599,1
22.4,62,1504,1744,860,1533,1404,14.61324,-0.33572,100,0.07650,0.02297,0.09948,1
23.0,62,1504,1744,860,1533,1442,14.36781,-0.55782,64,0.04980,0.03882,0.08862,1
