k,n,idx,len,parity,logt,logtlo,logthi,marglo,marghi,marg,dstar,logh11,logh22,pqnext,pqat
23.9,61,666,1303,0,146.726641,146.313369,150.973416,0.206636,2.123388,0.206636,382.8574,27.92470,0.10227,3,6
22.4,62,636,1242,0,149.313756,135.451301,149.594424,6.931228,0.140334,0.140334,389.2951,26.73815,0.18072,32,2
23.0,62,706,1326,0,149.313756,145.873107,157.829619,1.720324,4.257931,1.720324,388.2066,27.16298,0.18072,17,1
23.9,62,684,1308,0,149.313756,149.175234,160.761256,0.069261,5.723750,0.069261,389.6017,27.77787,0.18072,17,8
22.4,63,658,1286,0,151.900870,147.513201,156.741855,2.193835,2.420493,2.193835,394.3707,26.84143,0.14696,9,1
23.0,63,652,1281,0,151.900870,147.913588,160.088785,1.993641,4.093958,1.993641,394.4122,27.25952,0.14696,19,1
23.9,63,691,1313,1,151.900870,146.150241,157.248641,2.875315,2.673885,2.673885,394.2847,27.87565,0.14696,15,1
22.4,64,659,1294,1,154.487985,153.805762,158.538630,0.341112,2.025323,0.341112,401.4486,27.06730,0.15550,2,1
23.0,64,706,1382,0,154.487985,151.845209,156.047206,1.321388,0.779610,0.779610,401.0896,27.48969,0.15550,2,1
23.9,64,724,1429,0,154.487985,153.061536,158.246702,0.713224,1.879359,0.713224,401.1283,28.10702,0.15550,3,1
22.4,65,688,1346,0,157.075099,156.992869,163.878197,0.041115,3.401549,0.041115,408.6371,27.12416,0.16377,5,1
23.0,65,714,1390,0,157.075099,150.641107,161.248637,3.216996,2.086769,2.086769,406.9316,27.54005,0.16377,13,1
23.9,65,740,1416,0,157.075099,156.241049,161.591911,0.417025,2.258406,0.417025,407.6309,28.15855,0.16377,3,62
22.4,66,688,1362,0,159.662214,158.274968,164.144164,0.693623,2.240975,0.693623,413.6796,26.90131,0.16129,3,1
23.0,66,710,1402,0,159.662214,156.942074,161.386997,1.360070,0.862392,0.862392,413.5850,27.32140,0.16129,2,1
23.9,66,783,1464,1,159.662214,156.965212,166.684803,1.348501,3.511295,1.348501,413.3909,27.94103,0.16129,10,1
22.4,67,717,1397,1,162.249328,161.931777,168.810136,0.158775,3.280404,0.158775,420.5896,27.00948,0.14854,5,2
23.0,67,712,1415,0,162.249328,161.632586,171.523288,0.308371,4.636980,0.308371,420.3013,27.43365,0.14854,10,2
23.9,67,762,1434,0,162.249328,142.014494,162.358754,10.117417,0.054713,0.054713,421.0523,28.05438,0.14854,146,1
22.4,68,711,1369,1,164.836443,153.479029,172.718955,5.678707,3.941256,3.941256,425.4643,26.90552,0.15654,118,1
23.0,68,728,1429,0,164.836443,164.510399,167.970638,0.163022,1.567098,0.163022,426.8477,27.32345,0.15654,2,3
23.9,68,771,1526,1,164.836443,160.257495,166.696084,2.289474,0.929821,0.929821,426.0916,27.94524,0.15654,5,6
22.4,69,764,1388,0,167.423557,165.077711,175.575359,1.172923,4.075901,1.172923,432.2603,26.86975,0.22169,13,30
23.0,69,771,1455,1,167.423557,161.403279,174.929897,3.010139,3.753170,3.010139,431.8510,27.29167,0.22169,28,32
23.9,69,755,1503,1,167.423557,158.408814,171.801347,4.507371,2.188895,2.188895,431.9894,27.91450,0.22169,26,5
22.4,70,772,1463,0,170.010671,169.804673,173.831118,0.102999,1.910223,0.102999,439.5864,27.03537,0.08912,1,1
23.0,70,752,1445,0,170.010671,169.614544,172.806742,0.198064,1.398035,0.198064,439.3024,27.45125,0.08912,1,1
23.9,70,788,1503,0,170.010671,167.706099,174.460388,1.152286,2.224858,1.152286,438.5377,28.07509,0.08912,4,2
22.4,71,782,1446,0,172.597785,171.940241,177.058091,0.328772,2.230153,0.328772,445.3519,27.02005,0.08786,3,1
23.0,71,790,1525,0,172.597785,171.384160,185.916849,0.606813,6.659532,0.606813,445.0858,27.43985,0.08786,35,45
23.9,71,794,1517,0,172.597785,169.940167,176.678166,1.328809,2.040190,1.328809,444.7454,28.05489,0.08786,4,1
22.4,72,802,1500,0,175.184900,171.582208,178.006679,1.801346,1.410890,1.410890,450.9890,27.01102,0.12957,4,1
23.0,72,806,1513,0,175.184900,172.811094,176.439935,1.186903,0.627518,0.627518,451.3408,27.43461,0.12957,2,2
23.9,72,811,1562,1,175.184900,173.826746,175.617646,0.679077,0.216373,0.216373,451.8033,28.05074,0.12957,1,1
22.4,73,756,1459,0,177.772014,176.588872,182.446160,0.591571,2.337073,0.591571,457.6361,26.98774,0.13729,3,1
23.0,73,807,1516,1,177.772014,173.218524,180.164039,2.276745,1.196012,1.196012,457.3303,27.40553,0.13729,4,1
23.9,73,827,1544,1,177.772014,174.952839,178.852222,1.409587,0.540104,0.540104,457.6756,28.02271,0.13729,1,1
22.4,74,823,1506,1,180.359128,174.776391,184.400674,2.791368,2.020773,2.020773,463.3722,27.15825,0.10304,10,3
23.0,74,817,1558,1,180.359128,177.096514,184.663596,1.631307,2.152234,1.631307,463.4652,27.57976,0.10304,6,2
23.9,74,836,1574,0,180.359128,178.017248,185.531175,1.170940,2.586024,1.170940,463.6092,28.19797,0.10304,6,7
22.4,75,817,1546,1,182.946242,173.066775,187.982305,4.939733,2.518032,2.518032,469.5463,27.14438,0.07394,38,1
23.0,75,821,1580,1,182.946242,177.568918,192.287666,2.688662,4.670712,2.688662,469.5178,27.56027,0.07394,34,2
23.9,75,839,1625,1,182.946242,179.358381,189.464327,1.793930,3.259043,1.793930,469.6935,28.17948,0.07394,10,1
22.4,76,813,1536,1,185.533356,182.337831,196.603710,1.597763,5.535177,1.597763,476.0134,27.08272,0.08208,34,1
23.0,76,831,1598,1,185.533356,182.097467,187.526964,1.717944,0.996804,0.996804,476.2183,27.50225,0.08208,3,7
23.9,76,839,1662,1,185.533356,183.977624,185.647253,0.777866,0.056949,0.056949,477.4615,28.12244,0.08208,1,1
